name,price,bottle,type_wine,region,grapes,producer,wine_description,tasting_descr,tasting_view,tasting_bouquet,tasting_mouth,serving_storage_conditions,serve_temperature,food_pairing,alergens,alcohol_content,production,winemaking_info,vessel_material,aging_period,casks_age,casks_wood,more_winemaking_info,vineyards,type_agriculture,vineyard_age,soil_type,climate,orientation,surface,customer_reviews,customer_reviews_number,last_score_parker,last_score_penin,last_score_year,image,url,year,last_score_parker_num
Perelada Stars Brut Reserva 2020,£12.20,,Cava,DO Cava ,"Xarel·lo, Parellada, Macabeo",Perelada,"The prestigious and successful Perelada winery with its wide range of excellent wines produced at the emblematic Perelada Castle is run by the business-minded Suqué Mateu family who have not merely been wise enough to make the most of the potential of Empordá, one of the oldest winemaking areas in the Iberian Peninsula, but who have also helped significantly in boosting and promoting winemaking in the region.  

For over 25 years Delfí Sanahuja has been the chief oenologist...",,Yellow / Bright / Fine bubbles,Powerful / Ageing notes / Fruit aromas,Balanced / Structured / Elegant / Full / With personality,,,,Contains sulfites,12.0,,,,,,,,,,,,,,,4.0,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/sbr20_anv800.png,https://www.vinissimus.com/en/cava/stars-brut-reserva/,2020.0,
Argila Rosé Reserva BN 2017,£26.20,,Cava,Clàssic Penedès ,Sumoll,Mas Bertran Viticultors,,,Pale pink / Fine and persistent bubbles,Higly aromatic / Cherry liqueur / Floral notes / Balsamic aromas,Fresh / Fruit-forward / Persistent,,Serve between 8ºC and 10ºC,,Contains sulfites,12.5,,,28 months,,,,,,Organic,60 years,Mediterranean,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/mbarr17_anv800.png,https://www.vinissimus.com/en/cava/argila-rose-reserva-bn/,2017.0,
Torre del Veguer Jeronimus 2019,£23.10,,Red wine,Penedès ,"Garnacha, Petite Syrah",Torre del Veguer,,,Ruby red / Clear / Bright / Semi-opaque,Fresh / Fruit aromas / Black fruit / Red fruit / Plums / Cherries / Blueberries / Honeysuckle / Blackberries / Spicy notes / White pepper / Clove,Fresh / Velvety / Rounded / Ageing notes / Aromatic,,Serve between 16ºC and 18ºC,,Contains sulfites,14.0,,,,,,,,,Organic,,,,,,5.0,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/tvjrm19_anv800.png,https://www.vinissimus.com/en/wine/torre-del-veguer-jeronimus/,2019.0,
Parxet Brut Reserva 2019,£17.50,,Cava,DO Cava ,"Pansa Blanca, Macabeo, Parellada",Bodegas Parxet,,,Pale yellow / Greenish glints / Fine and persistent bubbles,Delicate / White fruit / Ageing notes,Full / With personality / With volume,,Serve between 6ºC and 8ºC,,Contains sulfites,11.5,,,15 months,,,,,,Organic,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/ptbrs18_anv800_1636548168.png,https://www.vinissimus.com/en/cava/parxet-brut-reserva/,2019.0,
L'Enclòs de Peralba Tres Feixes 2019,£22.55,,White Wine,Wines without GI ,White Grenache,L'Enclòs de Peralba,,,,,,,Serve between 8ºC and 10ºC,,Contains sulfites,12.5,,,Stainless steel,9 months,,,,,,Calcareous-clay,Mediterranean,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/eptfe19_anv800_1638534133.png,https://www.vinissimus.com/en/wine/l-enclos-de-peralba-tres-feixes/,2019.0,
Mont Marçal Reserva Brut 2020,£12.60,,Cava,DO Cava ,"Macabeo, Xarel·lo, Parellada, Chardonnay",Mont Marçal Vinícola ,,,Pale yellow / Fine and persistent bubbles,Citrus notes / Fresh / Yeast / Confectionery notes,Good entry / Pleasant / Dry / Balanced / Fresh / Elegant,,,,Contains sulfites,11.5,,,15 months,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/mmrbt20_anv800_1675681794.png,https://www.vinissimus.com/en/cava/mont-marcal-reserva-brut/,2020.0,
Emina Sauvignon Blanc 2020,£10.80,,White wine,Rueda ,Sauvignon Blanc,Bodegas Emina,,,Yellow / Golden glints / Bright,Aromatic / Tropical fruit / Mango / Mineral,Medium-bodied / Warm / Bitter,,Serve between 6ºC and 8ºC,,Contains sulfites,13.5,"10,000  bottles",,11 years,Stony,Continental,13.00 hectares,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/emisb20_anv800_1645023941.png,https://www.vinissimus.com/en/wine/emina-sauvignon-blanc/,2020.0,
Duc de Foix Negre Cabernet Sauvignon 2021,£9.60,,Red wine,Penedès ,Cabernet Sauvignon,Covides Vinyes i Cellers,"1963 was the year when the Penedés 'Cooperativa Agrícola' became established, set up by farmers from all over the region, with the sole intention of making quality wines that represent the Penedés wine-growing area. It presently comprises some 800 members, along with installations and the latest technology to bring their aim to fruition. ",,Picota cherry red,Higly aromatic / Fruit aromas / Fruits of the forest / Red fruit,Rounded / Unctuous / Sweet tannins / Long finish,,,,Contains sulfites,13.0,,,,,,,,,,,,,,,4.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/dfxng21_anv800.png,https://www.vinissimus.com/en/wine/duc-de-foix-negre-cabernet-sauvignon/,2021.0,
Milmanda 2017,£64.60,,White wine,Conca de Barberà ,Chardonnay,Familia Torres,"The Conca de Barberà region has always been a kind of crossroads for people travelling through, a fact reflected in the numerous grape varieties cultivated here ranging from local varieties to non-native ones which have adapted easily to the balanced climate this area offers. Apart from the Pinot Noir, one of the most successful international grapes here is the Chardonnay. Torres produces the stunning Milmanda wine using Chardonnay grapes from the Milmanda plot, named after the nearby historic castle. A white Crianza wine based on individuality while being clearly reminiscent of French wines.","Miguel Torres is one of the great reference points in the quality wine and brandy sector, in Spain and worldwide, with over 50 brands on the market and a presence in more than 150 countries.

The company, still today a family concern, was founded in 1870 in Vilafranca del Penedès. From then onwards, successive generations have preserved the century-old tradition held by the Torres name. At this present time, it's the fourth and fifth generations who are running the company:...",Deep gold,Fruit aromas / Ripe fruit / Vine peach / Melon / Coconut / Lactic notes / Spicy notes / Cinnamon / Truffle,Balanced / Full / Complex / Long / Persistent,,Serve between 8ºC and 10ºC,,Contains sulfites,13.5,,,Mediterranean,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/milma17_anv800.png,https://www.vinissimus.com/en/wine/milmanda/,2017.0,
Rojalet Blanc (Bag in box 3L),£28.00,,White wine,Montsant ,"White Grenache, Macabeo",Celler Masroig,"Celler Masroig is a cooperative that can look back on nearly a century of history, with its foundation dating back to 1917. It looks to the future confidently counting upon a team of young, dynamic professionals and a winery boasting modern facilities.
With around 500 hectares of owned vineyards, it is the largest winery in the Montsant denomination and harvests in the region of 2.5 million kilos of grapes of the Mazuelo (Cariñena), Tempranillo, Garnacha Tinta and Syrah...",,Lemony yellow / Pale / Bright,Fruit aromas / White fruit / Apple / Pear / Tropical fruits / White flowers / Mediterranean herbs,Elegant / Fresh / Pleasant / Good acidity / Rounded,,,,Contains sulfites,12.5,,,,,,,,,,,,,,,2.5,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/bb3rjbl_anv800.png,https://www.vinissimus.com/en/wine/rojalet-blanc/,,
Hidalgo La Gitana PX Triana Viejo 30 años VORS (0.5 L),£78.60,,Natural sweet wine,Jerez-Manzanilla ,Pedro Ximénez,Bodegas Hidalgo La Gitana,"Founded in 1792 by Don José Pantaleón Hidalgo, Bodegas Hidalgo La Gitana is one of the oldest wineries in the Marco de Jerez region and among the few that have maintained their independent, family-run structure.

Located in Sanlúcar de Barrameda, where it is considered quite an institution, the company is run nowadays by the family's fifth generation and is the main producer of Manzanilla, the winery's star product which has won awards in numerous national and international...",,Mahogany / Dark / Iodine-coloured glints / Thick tears / Amber glints,Clean / Higly aromatic / Powerful / Complex / Ageing notes / Dried fruit and nuts / Toffee / Hardwoods,Dense / Creamy / Powerful / Sweet / Intense / Long / Persistent,,,,Contains sulfites,15.0,,,Wood,American oak,,,,,,,,,,,4.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/triavor_anv800.png,https://www.vinissimus.com/en/wine/hidalgo-la-gitana-px-triana-viejo-30-anos-vors/,,
Clos Erasmus 2021,£346.85,,Red wine,Priorat ,"Garnacha, Syrah",Clos i Terrasses,"The secret behind Daphne Glorian’s ability to offer one of the most internationally renowned wines is due not only to her discovery of Priorat’s potential at the right time, but also to her knowledge of how to take proper care of the vineyards and the grapes, and being very particular when it comes to maturing wine in the bodega.",,,,,,Serve between 16ºC and 18ºC,,Contains sulfites,15.5,,,,,,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/clera20_anv800_1656512947.png,https://www.vinissimus.com/en/wine/clos-erasmus/,2021.0,
L'Enclòs de Peralba Tres Feixes 2019,£22.55,,White Wine,Wines without GI ,White Grenache,L'Enclòs de Peralba,,,,,,,Serve between 8ºC and 10ºC,,Contains sulfites,12.5,,,Stainless steel,9 months,,,,,,Calcareous-clay,Mediterranean,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/eptfe19_anv800_1638534133.png,https://www.vinissimus.com/en/wine/l-enclos-de-peralba-tres-feixes/,2019.0,
Vecrima Godello 2022,£13.60,,White wine,Monterrei ,Godello,Bodegas y Viñedos de Altura,,,Pale yellow / Lemony glints / Clean / Crystal-clear transparency / Bright,Fruit aromas / White fruit / Stone fruit / Floral scents / White flowers / Higly aromatic,Full / Glyceric / Fresh / Smooth / Rounded / Intense / Floral notes,,Serve between 10ºC and 12ºC,,Contains sulfites,13.0,,,,,,,,,,,,,,,3.5,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vcrgo22_anv800.png,https://www.vinissimus.com/en/wine/vecrima-godello/,2022.0,
Dominio de Baco Verdejo 2022,£9.35,,White wine,La Mancha ,Verdejo,Bodegas Baco,,,Straw yellow / Bright,Higly aromatic / Fruit aromas / Tropical fruit / Fennel,Refreshing / Unctuous / Pleasant finish / Easy to drink / Balanced,,,,Contains sulfites,11.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/dbvdj22_anv800.png,https://www.vinissimus.com/en/wine/dominio-de-baco-verdejo/,2022.0,
Finca Durona 2016,£18.30,,Red wine,Penedès ,"Sumoll, Syrah, Garnacha, Cariñena, Merlot",Bodega Heretat Mont-Rubí,"The Heretat Mont-Rubí winery owns over 300 hectares of vineyards, woodland and mountainous terrain in the municipality of L'Avellà. Most of the vines they cultivate are local Penedès varieties such as Sumoll, Grenache, Carignan, and white grapes like the Xarel·lo and the Parellada. Mont-Rubí pay special attention to the Sumoll, a rich traditional grape variety which fell out of favour for different reasons and is scarcely cultivated nowadays. The Mont-Rubí winery is the first modern cellar to believe in the Sumoll and its expressiveness once more.
The Durona wine comes from vines planted at altitudes of between 500 and 700 metres in the Alt Penedès region. Its coupage is mainly based on Sumoll, together with Syrah, Grenache, Carignan, and a little Merlot. After vinification, it is aged in French and American oak barrels for twelve months before being left to stand in the bottle.","In the glass, it has a light crimson colour and its lack of density is perhaps an indicator of its subtlety. It is easy to distinguish from other wines because of its delicious aromas; delicate hints of cologne, lactic notes, leather, coffee, toffee, damp woodland, orange peel, honey and quince ... Moving it around the glass awakens smooth aromas of embers, figs, fine dark chocolate and glue. We recommend decanting this wine as on first opening it is sometimes a little closed with aromas of forests and truffles.
It offers an elegant consistency in the mouth, with little density which means its very fresh character can show through. In fact, two different sensations can be experienced; a more fatty profile, like mineral water, and a fresher wine side. An all-round wine, the Durona surrounds us from many directions.",,,,"Founded in 1984 in an old 19th century building, Bodega Heretat Mont-Rubí is located on an estate ina large area of forestland and vineyards around the village of L'Avellà in the Alt Penedès region. Their project is key to understanding the recent history of the Catalan grape variety Sumoll which would most probably have disappeared if it hadn't been for the winery's hard work and commitment to cultivating and using it.
The...",16ºC,,Contains sulfites,14.5,,,Wood,12 months,French oak,,,,,,,,,,3.5,27,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/duron16_anv800.png,https://www.vinissimus.com/en/wine/finca-durona/,2016.0,
Aalto Blanco de Parcela 2021,£43.80,,White wine,Castile and León ,Verdejo,Aalto,"Aalto is the emblematic name of a winery which has become a benchmark in the Ribera del Duero. The extensive experience of Mariano García, who was Vega Sicilia’s winemaker for thirty years, comes through in the powerfulness and complexity of the wines.",,,,,,,,Contains sulfites,12.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/aalbl21_anv800_1675675080.png,https://www.vinissimus.com/en/wine/aalto-blanco-de-parcela/,2021.0,
